casename,e,m,k,n,dtype,transA,transB,format,weight_mode,bias,group_list_type,group_list,base_k,tile_k_l1,scale_k_l1,l1_buffers,db_l0c,a_full_load
qgmm_mgroup_e1_m16_k64_n64_fp8_e4m3_weight_nd_single_length_l1_2,1,16,64,64,mxfp8_e4m3,false,false,"(ND,ND)",single,false,length,16,64,64,2,2,1,false
qgmm_mgroup_e2_m24_k64_n48_fp8_e5m2_weight_nd_single_tail_length_l1_2,2,24,64,48,mxfp8_e5m2,false,false,"(ND,ND)",single,false,length,24;24,64,64,2,2,1,false
qgmm_mgroup_e4_m32_k128_n64_fp4_e2m1_weight_nd_single_length_l1_2,4,32,128,64,mxfp4_e2m1,false,false,"(ND,ND)",single,false,length,32;32;32;32,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp8_e5m2_weight_nd_transpose_single_length_l1_2,2,16,64,64,mxfp8_e5m2,false,true,"(ND,ND)",single,false,length,16;16,64,64,2,2,1,false
qgmm_mgroup_e2_m24_k64_n48_fp8_e4m3_weight_nz_single_length_l1_2,2,24,64,48,mxfp8_e4m3,false,false,"(ND,NZ)",single,false,length,24;24,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nz_transpose_single_length_l1_2,2,16,64,64,mxfp8_e4m3,false,true,"(ND,NZ)",single,false,length,16;16,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp4_e2m1_weight_nd_transpose_single_length_l1_2,2,16,64,64,mxfp4_e2m1,false,true,"(ND,ND)",single,false,length,16;16,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp4_e2m1_weight_nd_single_bias_offset_l1_2,2,16,64,64,mxfp4_e2m1,false,false,"(ND,ND)",single,true,offset,16;32,64,64,2,2,1,false
qgmm_mgroup_e3_m16_k64_n64_fp8_e4m3_weight_nz_multi_length_l1_2,3,16,64,64,mxfp8_e4m3,false,false,"(ND,NZ)",multi,false,length,16;16;16,64,64,2,2,1,false
qgmm_mgroup_e2_m32_k128_n64_fp4_e2m1_weight_nz_multi_length_l1_2,2,32,128,64,mxfp4_e2m1,false,false,"(ND,NZ)",multi,false,length,32;32,64,64,2,2,1,false
qgmm_mgroup_e2_m32_k128_n64_fp4_e1m2_weight_nz_multi_length_l1_2,2,32,128,64,mxfp4_e1m2,false,false,"(ND,NZ)",multi,false,length,32;32,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_sparse_l1_2,2,16,64,64,mxfp8_e4m3,false,false,"(ND,ND)",single,false,sparse,0;16;1;16,64,64,2,2,1,false
qgmm_mgroup_e2_m64_k192_n128_fp8_e4m3_weight_nd_single_length_l1_3,2,64,192,128,mxfp8_e4m3,false,false,"(ND,ND)",single,false,length,64;64,64,64,2,3,1,false
qgmm_kgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_length_l1_2,2,16,64,64,mxfp8_e4m3,true,false,"(ND,ND)",single,false,length,29;35,128,128,4,2,2,false
qgmm_kgroup_e2_m16_k64_n64_fp8_e5m2_weight_nd_single_offset_l1_2,2,16,64,64,mxfp8_e5m2,true,false,"(ND,ND)",single,false,offset,29;64,128,128,4,2,2,false
qgmm_mgroup_e3_m17_k96_n33_fp8_e4m3_weight_nd_single_offset_tail,3,17,96,33,mxfp8_e4m3,false,false,"(ND,ND)",single,false,offset,13;31;51,64,64,2,2,1,false
qgmm_mgroup_e3_m32_k128_n80_fp8_e5m2_weight_nd_transpose_single_offset,3,32,128,80,mxfp8_e5m2,false,true,"(ND,ND)",single,false,offset,32;64;96,64,64,2,2,1,false
qgmm_mgroup_e4_m16_k128_n64_fp8_e4m3_weight_nz_multi_offset,4,16,128,64,mxfp8_e4m3,false,false,"(ND,NZ)",multi,false,offset,16;32;48;64,64,64,2,2,1,false
qgmm_mgroup_e2_m48_k192_n128_fp8_e5m2_weight_nz_transpose_single_length,2,48,192,128,mxfp8_e5m2,false,true,"(ND,NZ)",single,false,length,48;48,64,64,2,3,1,false
qgmm_mgroup_e3_m24_k96_n66_fp4_e2m1_weight_nd_single_length_tail,3,24,96,66,mxfp4_e2m1,false,false,"(ND,ND)",single,false,length,24;24;24,64,64,2,2,1,false
qgmm_mgroup_e2_m32_k128_n64_fp4_e2m1_weight_nz_transpose_single_offset,2,32,128,64,mxfp4_e2m1,false,true,"(ND,NZ)",single,false,offset,32;64,64,64,2,2,1,false
qgmm_mgroup_e3_m16_k128_n64_fp4_e1m2_weight_nz_transpose_multi_offset,3,16,128,64,mxfp4_e1m2,false,true,"(ND,NZ)",multi,false,offset,16;32;48,64,64,2,2,1,false
qgmm_mgroup_e4_m16_k64_n64_fp8_e5m2_weight_nz_single_sparse,4,16,64,64,mxfp8_e5m2,false,false,"(ND,NZ)",single,false,sparse,0;16;1;16;2;16;3;16,64,64,2,2,1,false
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_length_a_full_load,2,16,64,64,mxfp8_e4m3,false,false,"(ND,ND)",single,false,length,16;16,64,64,2,2,1,true
qgmm_mgroup_e2_m64_k256_n128_fp8_e4m3_weight_nd_single_length_large_k,2,64,256,128,mxfp8_e4m3,false,false,"(ND,ND)",single,false,length,64;64,64,64,2,2,1,false
qgmm_kgroup_e3_m17_k128_n33_fp8_e4m3_weight_nd_single_length_tail,3,17,128,33,mxfp8_e4m3,true,false,"(ND,ND)",single,false,length,32;32;64,128,128,4,2,2,false
qgmm_kgroup_e3_m32_k128_n64_fp8_e5m2_weight_nd_single_offset_tail,3,32,128,64,mxfp8_e5m2,true,false,"(ND,ND)",single,false,offset,17;64;128,128,128,4,2,2,false
