caseName,groupNum,m,n,k,baseM,baseN,baseK,kAL1,kBL1,scaleKAL1,scaleKBL1,isBias,dbL0C,l1BufferStage,groupType,groupListType,singleW,dtype,layoutA,layoutB,groupList,aFullLoad
qgmm_mgroup_e1_m16_k64_n64_fp8_e4m3_weight_nd_single_length_l1_2,1,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e4m3,nd,nd,16,0
qgmm_mgroup_e2_m24_k64_n48_fp8_e5m2_weight_nd_single_tail_length_l1_2,2,24,48,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e5m2,nd,nd,24;24,0
qgmm_mgroup_e4_m32_k128_n64_fp4_e2m1_weight_nd_single_length_l1_2,4,32,64,128,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp4_e2m1,nd,nd,32;32;32;32,0
qgmm_mgroup_e2_m16_k64_n64_fp8_e5m2_weight_nd_transpose_single_length_l1_2,2,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e5m2,nd,dn,16;16,0
qgmm_mgroup_e2_m24_k64_n48_fp8_e4m3_weight_nz_single_length_l1_2,2,24,48,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e4m3,nd,nz,24;24,0
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nz_transpose_single_length_l1_2,2,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e4m3,nd,zn,16;16,0
qgmm_mgroup_e2_m16_k64_n64_fp4_e2m1_weight_nd_transpose_single_length_l1_2,2,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp4_e2m1,nd,dn,16;16,0
qgmm_mgroup_e2_m16_k64_n64_fp4_e2m1_weight_nd_single_bias_offset_l1_2,2,16,64,64,16,64,64,64,64,2,2,1,1,2,0,0,1,mxfp4_e2m1,nd,nd,16;32,0
qgmm_mgroup_e3_m16_k64_n64_fp8_e4m3_weight_nz_multi_length_l1_2,3,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,0,mxfp8_e4m3,nd,nz,16;16;16,0
qgmm_mgroup_e2_m32_k128_n64_fp4_e2m1_weight_nz_multi_length_l1_2,2,32,64,128,16,64,64,64,64,2,2,0,1,2,0,1,0,mxfp4_e2m1,nd,nz,32;32,0
qgmm_mgroup_e2_m32_k128_n64_fp4_e1m2_weight_nz_multi_length_l1_2,2,32,64,128,16,64,64,64,64,2,2,0,1,2,0,1,0,mxfp4_e1m2,nd,nz,32;32,0
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_sparse_l1_2,2,16,64,64,16,64,64,64,64,2,2,0,1,2,0,2,1,mxfp8_e4m3,nd,nd,0;16;1;16,0
qgmm_mgroup_e2_m64_k192_n128_fp8_e4m3_weight_nd_single_length_l1_3,2,64,128,192,16,64,64,64,64,2,2,0,1,3,0,1,1,mxfp8_e4m3,nd,nd,64;64,0
qgmm_kgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_length_l1_2,2,16,64,64,16,64,128,128,128,4,4,0,2,2,2,1,1,mxfp8_e4m3,dn,nd,29;35,0
qgmm_kgroup_e2_m16_k64_n64_fp8_e5m2_weight_nd_single_offset_l1_2,2,16,64,64,16,64,128,128,128,4,4,0,2,2,2,0,1,mxfp8_e5m2,dn,nd,29;64,0
qgmm_mgroup_e3_m17_k96_n33_fp8_e4m3_weight_nd_single_offset_tail,3,17,33,96,16,64,64,64,64,2,2,0,1,2,0,0,1,mxfp8_e4m3,nd,nd,13;31;51,0
qgmm_mgroup_e3_m32_k128_n80_fp8_e5m2_weight_nd_transpose_single_offset,3,32,80,128,16,64,64,64,64,2,2,0,1,2,0,0,1,mxfp8_e5m2,nd,dn,32;64;96,0
qgmm_mgroup_e4_m16_k128_n64_fp8_e4m3_weight_nz_multi_offset,4,16,64,128,16,64,64,64,64,2,2,0,1,2,0,0,0,mxfp8_e4m3,nd,nz,16;32;48;64,0
qgmm_mgroup_e2_m48_k192_n128_fp8_e5m2_weight_nz_transpose_single_length,2,48,128,192,16,64,64,64,64,2,2,0,1,3,0,1,1,mxfp8_e5m2,nd,zn,48;48,0
qgmm_mgroup_e3_m24_k96_n66_fp4_e2m1_weight_nd_single_length_tail,3,24,66,96,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp4_e2m1,nd,nd,24;24;24,0
qgmm_mgroup_e2_m32_k128_n64_fp4_e2m1_weight_nz_transpose_single_offset,2,32,64,128,16,64,64,64,64,2,2,0,1,2,0,0,1,mxfp4_e2m1,nd,zn,32;64,0
qgmm_mgroup_e3_m16_k128_n64_fp4_e1m2_weight_nz_transpose_multi_offset,3,16,64,128,16,64,64,64,64,2,2,0,1,2,0,0,0,mxfp4_e1m2,nd,zn,16;32;48,0
qgmm_mgroup_e4_m16_k64_n64_fp8_e5m2_weight_nz_single_sparse,4,16,64,64,16,64,64,64,64,2,2,0,1,2,0,2,1,mxfp8_e5m2,nd,nz,0;16;1;16;2;16;3;16,0
qgmm_mgroup_e2_m16_k64_n64_fp8_e4m3_weight_nd_single_length_a_full_load,2,16,64,64,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e4m3,nd,nd,16;16,1
qgmm_mgroup_e2_m64_k256_n128_fp8_e4m3_weight_nd_single_length_large_k,2,64,128,256,16,64,64,64,64,2,2,0,1,2,0,1,1,mxfp8_e4m3,nd,nd,64;64,0
qgmm_kgroup_e3_m17_k128_n33_fp8_e4m3_weight_nd_single_length_tail,3,17,33,128,16,64,128,128,128,4,4,0,2,2,2,1,1,mxfp8_e4m3,dn,nd,32;32;64,0
qgmm_kgroup_e3_m32_k128_n64_fp8_e5m2_weight_nd_single_offset_tail,3,32,64,128,16,64,128,128,128,4,4,0,2,2,2,0,1,mxfp8_e5m2,dn,nd,17;64;128,0
