casename,batch,M,K,N,AType,BType,CType,bias,biasType,transA,transB,x1quantmode,x2quantmode,x2ScaleType,baseM,baseN,baseK,kL1,l1BufferNum,aFullLoad,kernel_variant
tt_nd,1,128,256,128,hifloat8_t,hifloat8_t,bfloat16_t,0,float,false,false,pertensor,pertensor,float,128,128,64,128,2,false,batch
tt_nd_without_batch,1,128,256,128,hifloat8_t,hifloat8_t,bfloat16_t,0,float,false,false,pertensor,pertensor,float,128,128,64,128,2,false,without_batch
tc_nd_transb,1,128,256,128,hifloat8_t,hifloat8_t,bfloat16_t,128,float,false,true,default,perchannel,uint64_t,128,128,64,128,2,false,batch
tc_nd_batch,2,128,256,128,hifloat8_t,hifloat8_t,bfloat16_t,0,float,false,false,default,perchannel,uint64_t,256,256,128,128,2,false,batch
tt_nd_transa_3buffer_afull_reuse,1,512,288,96,hifloat8_t,hifloat8_t,bfloat16_t,0,float,true,false,pertensor,pertensor,float,16,32,32,64,3,true,batch
tc_nd_3buffer_tail_bias,1,48,288,80,hifloat8_t,hifloat8_t,bfloat16_t,80,float,false,false,default,perchannel,uint64_t,32,32,32,64,3,false,batch
int8_int32_nd,1,128,256,128,int8_t,int8_t,int32_t,0,int32_t,false,false,default,default,float,128,128,64,128,2,false,batch
int8_int32_nd_transab,1,128,256,128,int8_t,int8_t,int32_t,128,int32_t,true,true,default,default,float,128,128,64,128,2,false,batch
int8_int32_nd_batch_transb,2,128,256,128,int8_t,int8_t,int32_t,128,int32_t,false,true,default,default,float,256,256,128,128,2,false,batch
qbmm_pertensor_streamk,1,16,128,16,int8_t,int8_t,float16,0,int32_t,false,false,default,pertensor,float,16,16,64,64,2,false,pertensor_streamk
