casename,m,k,n,bias,a_dtype,b_dtype,c_dtype,transA,transB,format,base_m,base_n,base_k,tile_k_l1,scale_k_l1,l1_buffers,db_l0c,a_full_load
qbmm_mx_5344_1260_1976_FT_fp4e2m1_fp4e2m1_bfloat16_bias,5344,1260,1976,1976,fp4_e2m1,fp4_e2m1,bfloat16,false,true,"(ND,ND)",256,256,256,512,1536,3,1,false
qbmm_mx_1_14336_5120_FT_fp4e2m1_fp4e2m1_float32,1,14336,5120,0,fp4_e2m1,fp4_e2m1,float32,false,true,"(ND,ND)",16,160,256,1024,14336,4,2,false
qbmm_mx_192_4066_255_FT_fp4e2m1_fp4e2m1_float32_afl,192,4066,255,0,fp4_e2m1,fp4_e2m1,float32,false,true,"(ND,ND)",48,32,1280,5120,5120,2,2,true
qbmm_mx_4096_7104_2048_FT_fp4e2m1_fp4e2m1_float32,4096,7104,2048,0,fp4_e2m1,fp4_e2m1,float32,false,true,"(ND,ND)",256,256,256,512,7168,2,1,false
qbmm_mx_1024_128_256_TF_fp4e2m1_fp4e2m1_bfloat16_afl,1024,128,256,0,fp4_e2m1,fp4_e2m1,bfloat16,true,false,"(ND,ND)",64,128,128,128,128,4,2,true
qbmm_mx_256_8192_256_FF_fp4e2m1_fp4e2m1_float16,256,8192,256,0,fp4_e2m1,fp4_e2m1,float16,false,false,"(ND,ND)",32,64,256,1024,8192,4,2,false
qbmm_mx_4_8192_128_FT_fp4e2m1_fp4e2m1_float16_afl,4,8192,128,0,fp4_e2m1,fp4_e2m1,float16,false,true,"(ND,ND)",16,16,2048,8192,8192,2,2,true
qbmm_mx_4096_8192_128_FT_fp4e2m1_fp4e2m1_float16_bias,4096,8192,128,128,fp4_e2m1,fp4_e2m1,float16,false,true,"(ND,ND)",128,128,512,1024,8192,2,2,false
qbmm_mx_4096_8192_128_FT_fp4e2m1_fp4e2m1_float16,4096,8192,128,0,fp4_e2m1,fp4_e2m1,float16,false,true,"(ND,ND)",128,128,512,1024,8192,3,2,false
qbmm_mx_404_1024_13824_FT_fp4e2m1_fp4e2m1_float32,404,1024,13824,0,fp4_e2m1,fp4_e2m1,float32,false,true,"(ND,ND)",208,256,256,512,1024,4,1,false
qbmm_mx_1206_8512_1048_FT_fp8e5m2_fp8e5m2_bfloat16_bias,1206,8512,1048,1048,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,ND)",208,224,128,256,8704,2,1,false
