casename,m,k,n,bias,a_dtype,b_dtype,transA,transB,format,base_m,base_n,base_k,tile_k_l1,scale_k_l1,l1_buffers,db_l0c,a_full_load
nz_basic_fp8e4m3,64,128,128,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_bias_fp8e4m3,64,128,128,128,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e5m2_fp8_e4m3,64,128,128,0,fp8_e5m2,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e4m3_fp8_e4m3,64,128,128,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e5m2_fp8e4m3_bias,64,128,128,128,fp8_e5m2,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e4m3_afl,64,128,128,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,2,true
nz_fp8e5m2_afl_bias,64,128,128,128,fp8_e5m2,fp8_e4m3,false,false,"(ND,NZ)",64,128,64,64,64,2,2,true
nz_fp8e4m3_dbl0c2,128,256,256,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",128,128,128,128,128,2,2,false
nz_fp8e4m3_transB,64,128,128,0,fp8_e4m3,fp8_e4m3,false,true,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e4m3_transA,64,128,128,0,fp8_e4m3,fp8_e4m3,true,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e4m3_transA_transB_bias,64,128,128,128,fp8_e4m3,fp8_e4m3,true,true,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp8e5m2_dbl0c2_afl,128,256,256,256,fp8_e5m2,fp8_e4m3,false,false,"(ND,NZ)",128,128,128,128,128,2,2,true
nz_large_fp8e4m3,256,512,256,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,NZ)",128,128,128,256,256,2,1,false
nz_fp8e4m3_fp8_e4m3_transB_bias,128,256,256,256,fp8_e4m3,fp8_e4m3,false,true,"(ND,NZ)",128,128,128,128,128,2,1,false
nz_basic_fp4e2m1,64,128,128,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_bias_fp4e2m1,64,128,128,128,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp4e2m1_afl,64,128,128,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",64,128,64,64,64,2,2,true
nz_fp4e2m1_dbl0c2,128,256,256,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",128,128,128,128,128,2,2,false
nz_fp4e2m1_transB,64,128,128,0,fp4_e2m1,fp4_e2m1,false,true,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp4e2m1_transA,64,128,128,0,fp4_e2m1,fp4_e2m1,true,false,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp4e2m1_transA_transB_bias,64,128,128,128,fp4_e2m1,fp4_e2m1,true,true,"(ND,NZ)",64,128,64,64,64,2,1,false
nz_fp4e2m1_afl_bias,64,128,128,128,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",64,128,64,64,64,2,2,true
nz_fp4e2m1_dbl0c2_afl,128,256,256,256,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",128,128,128,128,128,2,2,true
nz_large_fp4e2m1,256,512,256,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,NZ)",128,128,128,256,256,2,1,false
nz_fp4e2m1_transB_bias,128,256,256,256,fp4_e2m1,fp4_e2m1,false,true,"(ND,NZ)",128,128,128,128,128,2,1,false
nd_basic_fp8e4m3,64,128,128,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_bias_fp8e4m3,64,128,128,128,fp8_e4m3,fp8_e4m3,false,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp8e5m2_fp8e4m3,64,128,128,0,fp8_e5m2,fp8_e4m3,false,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp8e4m3_transB,64,128,128,0,fp8_e4m3,fp8_e4m3,false,true,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp8e4m3_transA,64,128,128,0,fp8_e4m3,fp8_e4m3,true,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp8e4m3_afl_bias,64,128,128,128,fp8_e4m3,fp8_e4m3,false,false,"(ND,ND)",64,128,64,64,64,2,2,true
nd_large_fp8e4m3,256,512,256,0,fp8_e4m3,fp8_e4m3,false,false,"(ND,ND)",128,128,128,256,256,2,1,false
nd_basic_fp4e2m1,64,128,128,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_bias_fp4e2m1,64,128,128,128,fp4_e2m1,fp4_e2m1,false,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp4e2m1_transB,64,128,128,0,fp4_e2m1,fp4_e2m1,false,true,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp4e2m1_transA,64,128,128,0,fp4_e2m1,fp4_e2m1,true,false,"(ND,ND)",64,128,64,64,64,2,1,false
nd_fp4e2m1_afl_bias,64,128,128,128,fp4_e2m1,fp4_e2m1,false,false,"(ND,ND)",64,128,64,64,64,2,2,true
nd_fp4e2m1_dbl0c2,128,256,256,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,ND)",128,128,128,128,128,2,2,false
nd_large_fp4e2m1,256,512,256,0,fp4_e2m1,fp4_e2m1,false,false,"(ND,ND)",128,128,128,256,256,2,1,false
